ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
203427_at	3.94e-02	6.65e-03	2.7253754	-2.85299	0.25607487	ASF1A	anti-silencing function 1A histone chaperone
203906_at	3.95e-02	6.66e-03	-2.7251378	-2.853613	-0.29418566	IQSEC1	IQ motif and Sec7 domain 1
204732_s_at	3.95e-02	6.66e-03	-2.7250056	-2.85396	-0.38559596	TRIM23	tripartite motif containing 23
200975_at	3.95e-02	6.66e-03	-2.7247733	-2.85457	-0.1842871	PPT1	palmitoyl-protein thioesterase 1
213342_at	3.95e-02	6.66e-03	2.7247645	-2.854593	0.35895497	YAP1	Yes associated protein 1
210820_x_at	3.95e-02	6.67e-03	-2.7247364	-2.854666	-0.1831804	COQ7	coenzyme Q7, hydroxylase
211934_x_at	3.95e-02	6.67e-03	2.7245199	-2.855234	0.1737226	GANAB	glucosidase II alpha subunit
219490_s_at	3.95e-02	6.68e-03	2.7241992	-2.856076	0.27368583	DCLRE1B	DNA cross-link repair 1B
221871_s_at	3.95e-02	6.68e-03	2.7241557	-2.85619	0.26640487	TFG	TRK-fused gene
203544_s_at	3.95e-02	6.68e-03	2.7241164	-2.856293	0.18431748	STAM	signal transducing adaptor molecule
210904_s_at	3.95e-02	6.68e-03	-2.7240804	-2.856387	-0.23188959	IL13RA1	interleukin 13 receptor subunit alpha 1
201418_s_at	3.95e-02	6.68e-03	2.7240491	-2.856469	0.33841171	SOX4	SRY-box 4
202847_at	3.95e-02	6.68e-03	-2.7239332	-2.856773	-0.16655123	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial
215221_at	3.95e-02	6.69e-03	-2.723723	-2.857325	-0.19211878		
205897_at	3.95e-02	6.70e-03	-2.7232241	-2.858633	-0.3833316	NFATC4	nuclear factor of activated T-cells 4
219295_s_at	3.95e-02	6.70e-03	2.7231624	-2.858795	0.39262619	PCOLCE2	procollagen C-endopeptidase enhancer 2
206410_at	3.95e-02	6.70e-03	-2.7229922	-2.859241	-0.30469155	NR0B2	nuclear receptor subfamily 0 group B member 2
208962_s_at	3.95e-02	6.70e-03	2.7229462	-2.859362	0.35356881	MIR1908///FADS1	microRNA 1908///fatty acid desaturase 1
202212_at	3.95e-02	6.70e-03	2.7229326	-2.859397	0.36333158	PES1	pescadillo ribosomal biogenesis factor 1
220173_at	3.96e-02	6.71e-03	-2.7225753	-2.860334	-0.19264502	BBOF1	basal body orientation factor 1
40829_at	3.96e-02	6.71e-03	-2.7225364	-2.860436	-0.14862915	WDTC1	WD and tetratricopeptide repeats 1
205424_at	3.96e-02	6.72e-03	-2.7221206	-2.861526	-0.26638251	TBKBP1	TBK1 binding protein 1
212592_at	3.96e-02	6.72e-03	2.7220846	-2.86162	0.58914994	JCHAIN	joining chain of multimeric IgA and IgM
202401_s_at	3.97e-02	6.74e-03	2.7210788	-2.864256	0.26174319	SRF	serum response factor
209984_at	3.97e-02	6.74e-03	2.7208639	-2.864819	0.13242525	KDM4C	lysine demethylase 4C
205704_s_at	3.97e-02	6.74e-03	2.7207881	-2.865018	0.36709192	ATP6V0A2	ATPase H+ transporting V0 subunit a2
212725_s_at	3.97e-02	6.75e-03	2.7204269	-2.865964	0.15332899	TUG1	taurine up-regulated 1 (non-protein coding)
217467_at	3.98e-02	6.76e-03	-2.7202005	-2.866557	-0.31789462	BTF3P13	basic transcription factor 3 pseudogene 13
218924_s_at	3.99e-02	6.78e-03	-2.7190511	-2.869567	-0.22399406	CTBS	chitobiase
220939_s_at	3.99e-02	6.78e-03	-2.7188447	-2.870108	-0.13063513	DPP8	dipeptidyl peptidase 8
209183_s_at	3.99e-02	6.79e-03	2.7185336	-2.870922	0.4135468	C10orf10	chromosome 10 open reading frame 10
217783_s_at	4.00e-02	6.80e-03	-2.7182054	-2.871781	-0.17224178	YPEL5	yippee like 5
203378_at	4.00e-02	6.81e-03	-2.7174996	-2.873628	-0.13640835	PCF11	PCF11 cleavage and polyadenylation factor subunit
218433_at	4.01e-02	6.82e-03	-2.7171539	-2.874533	-0.15973697	PANK3	pantothenate kinase 3
219510_at	4.01e-02	6.82e-03	2.716821	-2.875404	0.27889464	POLQ	DNA polymerase theta
218089_at	4.01e-02	6.83e-03	-2.7167393	-2.875618	-0.11476806	AAR2	AAR2 splicing factor homolog
2028_s_at	4.01e-02	6.84e-03	2.7162721	-2.87684	0.15718214	E2F1	E2F transcription factor 1
211391_s_at	4.02e-02	6.85e-03	-2.7158001	-2.878075	-0.16802584	PATZ1	POZ/BTB and AT hook containing zinc finger 1
217273_at	4.03e-02	6.86e-03	2.7148702	-2.880506	0.23817347	PRAMEF10	PRAME family member 10
206215_at	4.03e-02	6.87e-03	-2.7144756	-2.881537	-0.28227676	OPCML	opioid binding protein/cell adhesion molecule like
221627_at	4.05e-02	6.91e-03	-2.7128005	-2.885915	-0.20330503	TRIM10	tripartite motif containing 10
221840_at	4.05e-02	6.91e-03	-2.7127242	-2.886114	-0.21350918	PTPRE	protein tyrosine phosphatase, receptor type E
34225_at	4.06e-02	6.92e-03	-2.7121855	-2.887521	-0.13444198	MIR943///NELFA	microRNA 943///negative elongation factor complex member A
203979_at	4.06e-02	6.93e-03	2.7118187	-2.888479	0.45517237	CYP27A1	cytochrome P450 family 27 subfamily A member 1
213192_at	4.06e-02	6.93e-03	-2.7118172	-2.888483	-0.34342633	THAP3	THAP domain containing 3
213333_at	4.07e-02	6.94e-03	-2.7110082	-2.890596	-0.13594291	MDH2	malate dehydrogenase 2
201013_s_at	4.07e-02	6.96e-03	2.7103075	-2.892425	0.19837015	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
200798_x_at	4.08e-02	6.98e-03	2.7094633	-2.894628	0.2296924	MCL1	BCL2 family apoptosis regulator
212481_s_at	4.09e-02	6.98e-03	2.7091604	-2.895418	0.22530015	TPM4	tropomyosin 4
200864_s_at	4.09e-02	6.99e-03	-2.7089824	-2.895883	-0.2494858	RAB11A	RAB11A, member RAS oncogene family
